Date,Price,Open,High,Low,Vol.,Change %
21/4/2021,"30,921.96","31,170.36","31,170.36","30,670.58",64.19M,-0.42%
20/4/2021,"31,053.73","31,497.46","31,709.06","30,995.85",73.62M,-2.07%
19/4/2021,"31,709.06","31,722.38","31,845.69","31,511.31",43.30M,-0.17%
16/4/2021,"31,764.49","31,454.01","31,764.49","31,409.46",65.43M,0.87%
15/4/2021,"31,489.34","31,149.69","31,503.42","31,045.49",63.46M,1.43%
14/4/2021,"31,045.49","31,036.04","31,136.25","30,882.26",63.43M,-0.05%
13/4/2021,"31,060.49","30,924.90","31,220.01","30,832.65",56.93M,0.31%
12/4/2021,"30,964.86","30,804.74","31,095.89","30,635.41",70.00M,0.29%
9/4/2021,"30,876.47","30,729.35","30,984.11","30,612.64",48.09M,0.84%
8/4/2021,"30,620.25","31,155.15","31,186.95","30,604.38",65.84M,-1.46%
7/4/2021,"31,074.11","31,128.03","31,464.21","31,010.13",70.97M,-0.47%
6/4/2021,"31,221.45","31,045.13","31,409.25","30,984.14",50.74M,0.77%
1/4/2021,"30,984.14","31,391.06","31,424.33","30,755.22",80.22M,-0.83%
31/3/2021,"31,243.47","31,938.94","31,955.44","31,231.36",64.72M,-2.23%
30/3/2021,"31,955.44","31,617.58","32,002.76","31,539.25",77.43M,0.78%
29/3/2021,"31,709.05","30,872.46","31,776.83","30,872.46",76.12M,2.43%
26/3/2021,"30,955.85","30,471.54","31,099.29","30,194.73",74.50M,2.52%
25/3/2021,"30,194.73","30,226.21","30,624.77","30,070.44",,-0.57%
24/3/2021,"30,366.93","30,252.63","30,830.39","29,796.58",77.00M,0.02%
23/3/2021,"30,362.17","30,850.26","30,850.26","17,437.00",99.36M,-1.51%
