Date,Financials,Resources,Industrials,Consumer Goods
2020-01-31,3.0,1.0,4.0,2.0
2020-02-29,3.0,1.0,4.0,2.0
2020-03-31,3.0,2.0,4.0,1.0
2020-04-30,3.0,2.0,4.0,1.0
2020-05-31,3.0,2.0,4.0,1.0
2020-06-30,4.0,1.0,3.0,2.0
2020-07-31,3.0,1.0,4.0,2.0
2020-08-31,3.0,1.0,4.0,2.0
2020-09-30,4.0,1.0,3.0,2.0
2020-10-31,3.0,1.0,4.0,2.0
2020-11-30,4.0,1.0,3.0,2.0
2020-12-31,4.0,2.0,3.0,1.0
2021-01-31,4.0,1.0,3.0,2.0
2021-02-28,4.0,1.0,3.0,2.0
2021-03-31,4.0,1.0,2.0,3.0
2021-04-30,3.0,1.0,2.0,4.0
2021-05-31,3.0,1.0,2.0,4.0
2021-06-30,3.0,2.0,1.0,4.0
2021-07-31,2.0,4.0,1.0,3.0
2021-08-31,2.0,3.0,1.0,4.0
2021-09-30,2.0,4.0,1.0,3.0
2021-10-31,1.0,4.0,2.0,3.0
2021-11-30,1.0,3.0,2.0,4.0
2021-12-31,3.0,2.0,1.0,4.0
2022-01-31,1.0,3.0,2.0,4.0
2022-02-28,1.0,4.0,2.0,3.0
2022-03-31,1.0,2.0,4.0,3.0
2022-04-30,1.0,2.0,4.0,3.0
2022-05-31,1.0,3.0,4.0,2.0
2022-06-30,1.0,2.0,4.0,3.0
2022-07-31,1.0,3.0,4.0,2.0
2022-08-31,1.0,3.0,4.0,2.0
2022-09-30,3.0,2.0,4.0,1.0
2022-10-31,2.0,3.0,4.0,1.0
2022-11-30,2.0,3.0,4.0,1.0
2022-12-31,1.0,3.0,4.0,2.0
2023-01-31,2.0,3.0,4.0,1.0
2023-02-28,2.0,4.0,3.0,1.0
2023-03-31,3.0,4.0,2.0,1.0
2023-04-30,3.0,4.0,2.0,1.0
2023-05-31,3.0,4.0,2.0,1.0
2023-06-30,4.0,1.0,2.0,3.0
2023-07-31,2.0,4.0,3.0,1.0
2023-08-31,1.0,3.0,2.0,4.0
2023-09-30,2.0,4.0,1.0,3.0
2023-10-31,2.0,4.0,1.0,3.0
2023-11-30,2.0,4.0,1.0,3.0
2023-12-31,2.0,4.0,1.0,3.0
2024-01-31,2.0,4.0,1.0,3.0
2024-02-29,2.0,4.0,1.0,3.0
2024-03-31,1.0,4.0,2.0,3.0
2024-04-30,2.0,4.0,1.0,3.0
2024-05-31,1.0,4.0,2.0,3.0
2024-06-30,3.0,4.0,1.0,2.0
2024-07-31,2.0,4.0,1.0,3.0
2024-08-31,1.0,4.0,2.0,3.0
2024-09-30,1.0,4.0,3.0,2.0
2024-10-31,1.0,4.0,3.0,2.0
2024-11-30,1.0,4.0,2.0,3.0
2024-12-31,1.0,4.0,3.0,2.0
2025-01-31,1.0,4.0,3.0,2.0
2025-02-28,2.0,1.0,4.0,3.0
2025-03-31,1.0,4.0,3.0,2.0
2025-04-30,1.0,3.0,4.0,2.0
2025-05-31,1.0,3.0,4.0,2.0
2025-06-30,3.0,2.0,4.0,1.0
2025-07-31,2.0,1.0,4.0,3.0
2025-08-31,3.0,1.0,4.0,2.0
2025-09-30,3.0,1.0,4.0,2.0
2025-10-31,3.0,1.0,4.0,2.0
2025-11-30,2.0,1.0,4.0,3.0
2025-12-31,2.0,1.0,4.0,3.0
2026-01-31,2.0,1.0,4.0,3.0
2026-02-28,2.0,1.0,4.0,3.0
2026-03-31,2.0,1.0,4.0,3.0
2026-04-30,2.0,1.0,4.0,3.0
