Date,Financials,Resources,Industrials,Consumer Goods
2019-01-02,40406.26953125,27932.66015625,43395.171875,49021.58984375
2019-01-03,40985.55078125,28209.990234375,43877.7109375,48981.87109375
2019-01-04,41332.5,28280.140625,44619.69921875,49273.30859375
2019-01-07,41206.69140625,28302.970703125,44599.80078125,48565.6796875
2019-01-08,41161.80859375,28446.01953125,44689.53125,49551.78125
2019-01-09,41676.890625,28985.08984375,45220.05078125,50077.37890625
2019-01-10,42041.78125,28775.509765625,45523.12890625,50191.16015625
2019-01-11,42328.53125,28892.08984375,45911.4609375,50628.390625
2019-01-14,42293.4609375,28862.349609375,45912.80078125,50404.171875
2019-01-15,42486.640625,28736.01953125,45971.80859375,50150.80859375
2019-01-16,42899.171875,28369.509765625,46281.4296875,50155.2890625
2019-01-17,42477.30859375,28531.470703125,46172.23046875,50099.76953125
2019-01-18,42534.71875,28797.0390625,46103.4609375,50837.109375
2019-01-21,42466.76953125,28843.990234375,45886.3515625,51640.421875
2019-01-22,42632.359375,28743.5703125,45933.640625,51406.66015625
2019-01-23,42741.7109375,28826.66015625,46153.48828125,51490.51171875
2019-01-24,42937.859375,28603.880859375,45999.078125,50943.5703125
2019-01-25,43596.6015625,29114.689453125,46401.51171875,50405.66015625
2019-01-28,43083.62109375,29377.0703125,45786.421875,50017.73046875
2019-01-29,43652.73828125,29661.98046875,45861.421875,50119.80078125
2019-01-30,43437.83984375,30031.66015625,45564.359375,50553.71875
2019-01-31,43758.98046875,29695.970703125,46008.08984375,49388.41015625
2019-02-01,43611.55859375,29849.859375,45903.0,49876.69921875
2019-02-04,42729.8203125,29799.380859375,45086.44921875,49696.0703125
2019-02-05,43043.53125,30186.6796875,45558.23046875,50666.328125
2019-02-06,43289.26171875,30297.080078125,45884.890625,50993.51953125
2019-02-07,42678.98046875,30212.08984375,45438.94921875,50334.3203125
2019-02-08,42399.12109375,29762.8203125,44721.76953125,49546.578125
2019-02-11,42187.12109375,29839.060546875,44478.890625,50287.16015625
2019-02-12,42560.30859375,30062.5,44682.19921875,51089.05859375
2019-02-13,42725.890625,30955.599609375,44556.640625,53559.16015625
2019-02-14,42067.19140625,31179.470703125,44259.078125,53541.6796875
2019-02-15,41997.03125,31473.19921875,44288.76171875,53760.76953125
2019-02-18,42459.80078125,31824.30078125,44495.01171875,54073.109375
2019-02-19,42091.21875,32104.740234375,43899.58984375,54290.30078125
2019-02-20,42260.109375,32543.05078125,44544.78125,54701.53125
2019-02-21,42730.16015625,32223.509765625,45155.2109375,54427.03125
2019-02-22,42908.69921875,32510.240234375,45359.078125,54750.71875
2019-02-25,43025.71875,32119.08984375,45203.4296875,55163.6015625
2019-02-26,43271.75,32398.919921875,45649.8984375,55733.62890625
2019-02-27,43013.58984375,32842.98828125,45335.53125,55719.51171875
2019-02-28,42839.37109375,32405.060546875,44912.828125,55627.3515625
2019-03-01,42764.48828125,32536.5390625,45289.01171875,57168.28125
2019-03-04,42119.30859375,32370.080078125,45341.46875,56975.30078125
2019-03-05,41990.48828125,32189.7890625,44987.08984375,55232.609375
2019-03-06,42014.3203125,32319.240234375,44980.25,55394.01171875
2019-03-07,41652.55078125,32306.30078125,44606.37109375,55582.0703125
2019-03-08,41778.3203125,31995.220703125,44448.80078125,55554.23828125
2019-03-11,41243.69140625,32092.080078125,44040.171875,55330.05859375
2019-03-12,41614.55859375,32091.6796875,44261.03125,54930.12890625
2019-03-13,41230.1796875,32465.3203125,44033.828125,55329.9609375
2019-03-14,41239.98828125,32637.5,43912.66015625,55768.9609375
2019-03-15,41807.2890625,32494.80078125,44186.03125,56191.828125
2019-03-18,42041.44921875,33137.94921875,44187.2890625,56568.609375
2019-03-19,41466.3515625,33592.8984375,43852.26953125,57137.44921875
2019-03-20,40896.171875,33295.0703125,43199.76171875,56371.19921875
2019-03-22,40511.12890625,33339.37109375,42927.8515625,55670.5390625
2019-03-25,39987.91015625,32888.55859375,42469.05078125,55247.078125
2019-03-26,40156.4296875,33290.3984375,42521.5,55629.16015625
2019-03-27,40434.87890625,33644.6015625,42408.87890625,56187.46875
2019-03-28,40323.48046875,33470.05859375,41973.1484375,56534.01171875
2019-03-29,40891.671875,33420.94921875,42346.19140625,56466.48046875
2019-04-01,41865.0703125,33619.01953125,43429.9296875,56276.16015625
2019-04-02,41668.4609375,33780.23046875,43300.0703125,56372.26953125
